Name,Type,Address,Ratings,Location,Price,Image
Somerset Grand Hanoi,Hotel,"49 Hai Ba Trung Street, Hoan Kiem",5.0,Hanoi,4800000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a1/24/08/hotel-exterior.jpg?w=700&h=-1&s=1
Grand Plaza Hanoi Hotel,Hotel,"117 Tran Duy Hung Street",5.0,Hanoi,3600000,https://ticotravel.com.vn/wp-content/uploads/2022/03/grand-plaza-hanoi-hotel-3-2.jpg
InterContinental Hanoi Landmark72,Hotel,"E6 Pham Hung Street, Cau Giay",5.0,Hanoi,3900000,https://landmark72.intercontinental.com/wp-content/uploads/18.jpg
Hilton Hanoi Opera,Hotel,"1 Le Thanh Tong Street, Hoan Kiem",5.0,Hanoi,3400000,https://res-1.cloudinary.com/enchanting/f_auto/et-web/2019/07/Enchanting-Travels-Asia-Tours-Hilton-Hanoi-Opera-House-Hanoi-Vietnam-Exterior-view.jpg
Pullman Hanoi,Hotel,"40 Cat Linh Street",5.0,Hanoi,2350000,https://www.ahstatic.com/photos/7579_ho_00_p_2048x1536.jpg
InterContinental Hanoi Westlake,Hotel,"5 Tu Hoa Street",5.0,Hanoi,3500000,https://digital.ihg.com/is/image/ihg/intercontinental-hanoi-4068417844-16x9?
Sofitel Legend Metropole Hanoi,Hotel,"15 Ngo Quyen Street, Hoan Kiem",5.0,Hanoi,8800000,https://media.cnn.com/api/v1/images/stellar/prod/heritage-wing-facade-1.jpg?q=w_1110,c_fill
Novotel Hanoi Thai Ha,Hotel,"2 Thai Ha Street, Dong Da",5.0,Hanoi,2400000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/b5/bc/76/exterior-view.jpg?w=1100&h=-1&s=1
Calypso Grand Hotel,Hotel,"27 Cua Dong Street",3.0,Hanoi,950000,http://3.bp.blogspot.com/-CSr2TKwxw3o/UiM1CT05y_I/AAAAAAAALnA/KUUOaNNKTu0/s1600/DSCN9051.JPG,950000
Hilton Garden Inn Hanoi,Hotel,"20 Phan Chu Trinh Street, Hoan Kiem",4.0,Hanoi,2200000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/c1/3b/13/exterior.jpg?w=700&h=-1&s=1
Tru By Hilton Hanoi Station,Hotel,"115 Tran Hung Dao Street",4.0,Hanoi,1800000,https://www.hilton.com/im/en/HANDSRU/23086660/tru-by-hilton-hanoi-station-exterior.jpg?impolicy=crop&cw=5000&ch=2799&gravity=NorthWest&xposition=0&yposition=318&rw=768&rh=430
Muong Thanh Grand Hanoi Hotel,Hotel,"CC2 Nghiem Xuan Yem Street, Hoang Mai",3.8,Hanoi,1200000,https://eholiday.vn/wp-content/uploads/2023/05/Khach-san-Muong-Thanh-Grand-Ha-Noi.jpg?v=1684052963
Grand Mercure Hanoi,Hotel,"9 Cat Linh Street, Dong Da",4.5,Hanoi,2600000,https://media-cdn.tripadvisor.com/media/photo-s/29/7a/4f/63/grand-mercure-hanoi.jpg
Royal Hotel,Hotel,"19 Hang Chao Street, Dong Da",1.0,Hanoi,350000,https://pix5.agoda.net/hotelimages/301/3014193/3014193_17102710150058374256.png
Mercure Hanoi La Gare Hotel,Hotel,"94 Ly Thuong Kiet Street, Hoan Kiem",4.0,Hanoi,2100000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/ff/90/64/exterior-view.jpg?w=700&h=-1&s=1
Gia Bao Grand Hotel,Hotel,"38 Lo Su Street",3.9,Hanoi,1100000,https://i.amazingo.vn/images/ha_noi/khach_san_gia_bao_grand/khach_san_gia_bao_grand_13955744681.jpg
Splendid Star Grand Hotel,Hotel,"14 Tho Xuong",4.2,Hanoi,1350000,https://ak-d.tripcdn.com/images/0584j12000cttmr1f5DC8_R_960_660_R5_D.jpg
Luxury Hotel,Hotel,"Hanoi, Vietnam",3.7,Hanoi,750000,https://www.vietnamonline.com/media/uploads/froala_editor/images/VNO_Four+Seasons+Hanoi+(upcoming).jpg
Somerset Grand Hanoi Hotel,Hotel,"49 Hai Ba Trung Street",4.1,Hanoi,4600000,https://ticotravel.com.vn/wp-content/uploads/2022/03/Somerset-grand-hanoi-2-2.jpg
Nova Luxury Hotel,Hotel,"Hanoi, Vietnam",3.6,Hanoi,700000,https://pix10.agoda.net/hotelImages/4123820/-1/53b3faa09c1617b48a7892e4554e8b70.jpg?s=1024x768
Lyn Luxury Hotel & Apartment,Hotel,"39 Quang Khanh Street",4.4,Hanoi,1600000,https://locatravel.vn/uploads/photos/full_1672314792_62_9f5e7965189d6a5059f43bb7df1d6344.jpg
Hanoi Hotel Royal,Hotel,"26 Phat Loc",3.8,Hanoi,650000,https://pix5.agoda.net/hotelimages/301/3014193/3014193_17102710150058374256.png
Conifer Grand Hotel,Hotel,"42 Tho Xuong",4.3,Hanoi,1400000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/02/77/ce/entrance.jpg?w=700&h=-1&s=1
Peridot Grand Luxury Boutique Hotel,Hotel,"Hanoi, Vietnam",4.7,Hanoi,3300000,https://cf.bstatic.com/xdata/images/hotel/max1024x768/354844000.jpg?k=a249d29024e44e7183adeb565cc43043f940cc269c9737808d6bb0af92b67436&o=&hp=1
San Grand Hotel,Hotel,"Hanoi, Vietnam",4.0,Hanoi,1100000,https://sangrand.sanhotelseries.com/wp-content/uploads/sites/3/2022/12/banner-lucien1-1.jpg
Royal Palace Hotel,Hotel,"95 Hang Bong Street",3.9,Hanoi,950000,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f8/f3/a1/getlstd-property-photo.jpg?w=400&h=-1&s=1
