name,address,ratings,price,image_url,Location
The Concept Hotel,"160Bis Bui Thi Xuan, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",4.8,800000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXM-gQg8LXgkZg5f8BcV5oaXhkYrYCoXhWfPdvJ6pcHznC439pBKX6yod2Ak-O71aTLP94L5CJNNeAZ8i8b8691INMsx_nLLPjd1x8jwxtrhM1Zc40_Xw427KxDLY0EuCvMoga9Q=w447-h298-k-no,Ho Chi Minh
Equatorial Ho Chi Minh ,"242 Tran Binh Trong St., Phuong, Go Vap, Ho Chi Minh City",4.4,1800000,https://lh3.googleusercontent.com/p/AF1QipN_S2cAGU3su1Njf7sc9bV0s2EmCNb5WS9lJBVw=w448-h298-k-no,Ho Chi Minh
Beautiful Saigon Hotel,"40/27 Bui Vien, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",3.8,500000,https://lh3.googleusercontent.com/p/AF1QipNGOghBUsv7XmSGmZoPXALJ5Y08le_leKt3wy-Q=w447-h298-k-no,Ho Chi Minh
Venice Hotel,"38 Street No. 3, Trung Son Residential Area, Binh Chanh, Ho Chi Minh City",4.1,650000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzQ9tbP_fZkErcuG3aEGMAaYgKSiojG0ohn9U5b0UTSdWw84JhJ3-Cd-I6vZz-MJvK_S6acILXHLHDhBFljmUIzF_lzzruKHW66QHfS59J5t5h4aUC52jxt0z1jmeHciQsUJme=w224-h298-k-no,Ho Chi Minh
The Concept Hotel,"13-15 Nguyen Thai Hoc, Cau Ong Lanh Ward, District 1, Ho Chi Minh City",4.8,850000,https://lh3.googleusercontent.com/p/AF1QipMHqZ8d9YaOt6jYPOW_mcCq-l9P6iKM9kDxAtLX=w224-h336-k-no,Ho Chi Minh
Alagon Saigon,"291 Ly Tu Trong, Ben Thanh Ward, District 1, Ho Chi Minh City",4,1200000,https://lh3.googleusercontent.com/p/AF1QipMlGl6UvAlyvu_JvS8wrzMzyK4rkfab0hrp6zmS=w476-h298-k-no,Ho Chi Minh
Diamond Hotel ,"283/76 - 283/78 Cach Mang Thang Tam, Hoa Hung Ward, District 10, Ho Chi Minh City",3.1,550000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOwDeQUbfTBEk447TgsJ-Mo9gJdzxi1MMXsgMTkLss8Jb2TINEYxvE_wFizlDJRshmnEpPL9pjKn1LTUD_z1JYTzS2zFCvKJ9Uq6DwJdgYKfk2NMgDVuCi4CeVTM7M8Iys3N3HSQ=w224-h298-k-no,Ho Chi Minh
Friday Premium Hotel,"811 Le Hong Phong, Ward 12, District 10, Ho Chi Minh City",3.8,600000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy8_-59HrtyWp8YSHTFAmPY3tb20An7nEiBfVIBCZWdZlegddOKE9eZ2q8HxmfGqejdPb3bm2yaded7lS5ea6RPgefx4RuVnWqsY4Z45mUf5yATTTzTrT8R32bfoblB_4NwcY9j=w529-h298-k-no,Ho Chi Minh
Yellow House Saigon,"114/32 Do Tham, Cau Ong Lanh Ward, District 1, Ho Chi Minh City",4.2,700000,https://lh3.googleusercontent.com/p/AF1QipOL7V-cTLmbMsGzf7uC09YZJi_kfWDs-VrMrfkX=w224-h336-k-no,Ho Chi Minh
Cabana Hotel Saigon ,"47A Nguyen Trai, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",2.2,400000,https://lh3.googleusercontent.com/p/AF1QipN2YEH8i6iy9z0UTr6N35ZWZ1gdWG9Gk6lARcHU=w447-h298-k-no,Ho Chi Minh
La Paix Saigon Boutique Hotel,"Hai Ba Trung/59 Ward, Ben Nghe, District 1, Ho Chi Minh City",4,950000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBVa6pG9l5iQcvxf-rk9nHmCvKElnnoVDIN6I0ZPftG79Xtnueg0I3TYZtiO82qFzIF7X1rWDIczxT7YR0flDHitqGu9T51fNnDKlwi8A5PuJBvGqX9sEwKYxc0RmcMRGup6-xzg6-2So=w224-h298-k-no,Ho Chi Minh
Happy Life Grand Hotel & Sky Bar,"102 Le Thi Hong Gam, Nguyen Thai Binh Ward, District 1, Ho Chi Minh City",4.3,900000,https://lh3.googleusercontent.com/p/AF1QipMBVPWYLJ6puHfKX6d2QmguMOc6Zw5f8vv8UKa6=w224-h325-k-no,Ho Chi Minh
Sweet Home ,"553/1A Tran Hung Dao, Cau Kho, District 1, Ho Chi Minh City",5,650000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfGyfcS6QwWdB5UfjCS9c6sYHFx048dEDVeTw4_kK95UCVU4nAP85GhvSYA_A-2zFTCt4jNDjepQusWrk57cFHsvf6bdgx8AKUsCLLxp57ZaPhupyPK9ZL2tgnFDjlcuL_1Hid=w224-h398-k-no,Ho Chi Minh
Aquarizon Boutique Hostel & City Bar,"197 Bui Vien, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",4.3,350000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2I9dr5rtOSlmWDOgXaPNNbwp7_AI-pLxcMD_wn3yhywZZBGfTBCRdwN6g7WFxlI3w7UM9O3-4ZknBqt1UJ3TPZlDh5gUDJ1Z2xkTusM_Xf0qV7LGGCO_7omWsbCg1XwnIPIQ=w447-h298-k-no,Ho Chi Minh
The Alley Saigon Hotel,"283/24 Pham Ngu Lao, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",4.4,750000,https://lh3.googleusercontent.com/p/AF1QipNU-Gngs42pMzQUmsA7lqflhCenlMGSRKgQ6ZKZ=w529-h298-k-no,Ho Chi Minh
Cozrum Homes Charming Corner,"16 Nguyen Dinh Chieu, Ward 5, District 3, Ho Chi Minh City",2.3,500000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzsGuCyO0su77bWapAUC_HeZ6F7Uv0LSfyCrvJswSjxdaZ7uxa3Jp1wFiG07VzfoWZt4QzmV6YeTbwcbiVYlH0TjVRv2Lk6KDVTBviMhlC4_Eg_I87qZThkVt1S9s6EgITEZSCtw=w447-h298-k-no,Ho Chi Minh
Sonata Hotel & Residences,"41-43 Nguyen Thi Thap St., Tan Phu, District 7, Ho Chi Minh City",4.5,1400000,https://lh3.googleusercontent.com/p/AF1QipOBKsSlMh2H-h1qftGqivpVc_LoIL4aCgb_oYSk=w493-h298-k-no,Ho Chi Minh
Saigon City Center Hostel,"385/143 Nguyen Cong Tru, Cau Ong Lanh Ward, District 1, Ho Chi Minh City",2.9,300000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbnLEzOdlAp5tBwW8sYGe18hFKD02Wg06rPKgw6X5ffcvEaJSwL7f0C1E5USNzfLMyANOZFkQoDpOCCh69KhKLGYNaQkUxo7ZHM2Dq8n6NAF7sSycaS5j6BWDvBsXn7F5OswuY=w397-h298-k-no,Ho Chi Minh
Fusion Suites Sai Gon,"3-5 Suong Nguyet Anh St., Ward, Ho Chi Minh City",4.5,1600000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxo0kalBlgFc4GWNPoucp0ch4AsNspHiWqubmVpT4q_7nvm6aJirxwTxB4_tyWTle6j-kraO9vwdHkegUIifSF1t6x9VN5CV52vJwwx6ohEea4wBE-H0uOftuV6lcXauBDfJoYj=w447-h298-k-no,Ho Chi Minh
Saigon Hub Hostel,"283/2C Pham Ngu Lao, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",4,350000,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw81g-btmiz9brkeEr0R2OOFvft7qnnIpscbzZWiy0QdnPJemLDl-ip-Z6qfBYa9YZsOWL4vVgdTqJ1h4zeCW8m9MhhVoI_wVc8zs5qYiJtG8f0jvmXvD5ffY5yCNWp4JDGfKAT=w529-h298-k-no,Ho Chi Minh
